Business_Sector,Business_Subsector,Business_Model,Ownership_Type,Registration_Year,Duration_Operation,Business_Age,Initial_Capital,Num_Employees,Location,Owner_Age,Owner_Gender,Business_Type,Growth_Indicator,Business_Status
Hospitality & Tourism,Conference & events (MICE industry),Product-based,Partnership,2012,13,13,5654274,1,Rubavu,41,Female,Micro-enterprise,0.35,Closed
Manufacturing,Wood products & furniture,Hybrid,Partnership,2025,0,0,19805370,8,Rubavu,62,Female,SME,0.46,Operating
Manufacturing,Wood products & furniture,Product-based,Partnership,2020,5,5,3562479,28,Huye,24,Female,SME,-0.13,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Product-based,Partnership,2000,25,25,1850390,3,Rusizi,19,Male,Startup,0.08,Operating
Nonprofit & Community Organizations,Religious organizations,Service-based,Cooperative,2013,12,0,2658768,18,Rwamagana,53,Male,SME,0,Operating
Energy & Utilities,Water supply & waste management,Service-based,Partnership,2014,11,11,16540478,31,Kigali,26,Male,Micro-enterprise,0.42,Operating
Information & Communication Technology (ICT),"Software development, IT services & startups",Service-based,Sole Proprietorship,2018,7,7,7374049,5,Nyagatare,34,Female,Startup,-0.03,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Product-based,Sole Proprietorship,2002,23,23,1578852,2,Rusizi,29,Male,Startup,0.39,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Hybrid,Partnership,2024,1,1,1917839,15,Musanze,55,Female,SME,0.37,Operating
Construction & Real Estate,Road construction & maintenance,Hybrid,Partnership,2015,10,10,6432955,21,Huye,37,Male,Micro-enterprise,0.29,Operating
Professional & Business Services,"Advertising, media & marketing",Product-based,Cooperative,2025,0,0,7381714,33,Rusizi,46,Female,Startup,-0.12,Operating
Public Administration & Defense,Security & defense institutions,Service-based,Limited Company,2005,20,20,3262031,46,Rubavu,38,Female,Micro-enterprise,-0.03,Operating
Public Administration & Defense,Security & defense institutions,Hybrid,Cooperative,2024,1,1,1029424,22,Rubavu,32,Male,Startup,0.3,Operating
"Agriculture, Forestry & Fishing","Livestock farming (cattle, goats, poultry, pigs, rabbits, fish)",Hybrid,Cooperative,2015,10,10,4347050,24,Rwamagana,30,Male,Micro-enterprise,0.03,Operating
Construction & Real Estate,Road construction & maintenance,Product-based,Limited Company,2012,13,13,10114436,7,Nyagatare,52,Female,SME,0.32,Operating
Hospitality & Tourism,Conference & events (MICE industry),Product-based,Cooperative,2009,16,0,993339,18,Musanze,34,Female,Micro-enterprise,0.33,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Service-based,Cooperative,2016,9,9,1312055,30,Rusizi,50,Female,Startup,0.44,Operating
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Service-based,Sole Proprietorship,2016,9,9,3713802,8,Huye,20,Female,Startup,0.49,Operating
Hospitality & Tourism,Travel agencies & tour operators,Product-based,Cooperative,2012,13,0,3691062,22,Huye,50,Female,SME,0.07,Operating
Construction & Real Estate,Real estate development & property management,Product-based,Partnership,2004,21,21,6142483,26,Rusizi,35,Female,Micro-enterprise,0.08,Operating
Transport & Logistics,Rail (future projects),Hybrid,Cooperative,2021,4,4,6568800,19,Kigali,54,Male,Micro-enterprise,0.36,Operating
Construction & Real Estate,"Architecture, engineering & technical services",Hybrid,Partnership,2013,12,0,14323618,43,Musanze,39,Female,SME,-0.16,Operating
Energy & Utilities,Renewable energy technologies,Hybrid,Cooperative,2007,18,18,9696385,48,Rusizi,39,Female,Startup,0.05,Closed
Manufacturing,"Metal fabrication, machinery, electrical products",Service-based,Sole Proprietorship,2024,1,1,14320565,37,Nyagatare,35,Male,Micro-enterprise,0.5,Operating
Construction & Real Estate,Road construction & maintenance,Product-based,Cooperative,2002,23,0,15001511,42,Musanze,25,Female,Startup,-0.1,Operating
Professional & Business Services,"Advertising, media & marketing",Product-based,Sole Proprietorship,2005,20,20,4642565,25,Huye,56,Female,Startup,-0.17,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Service-based,Cooperative,2017,8,8,10076701,46,Rwamagana,63,Male,SME,-0.1,Operating
Hospitality & Tourism,Conference & events (MICE industry),Service-based,Partnership,2021,4,4,7792948,14,Kigali,60,Male,SME,-0.03,Operating
Health & Social Work,Health insurance providers,Service-based,Partnership,2016,9,0,3381904,12,Nyagatare,46,Male,Micro-enterprise,0.13,Operating
Construction & Real Estate,Real estate development & property management,Product-based,Limited Company,2009,16,16,1900013,38,Nyagatare,59,Male,SME,0.12,Operating
Mining & Quarrying,Gold,Product-based,Cooperative,2011,14,14,6619237,31,Rubavu,47,Male,Micro-enterprise,-0.15,Operating
"Arts, Entertainment & Recreation","Music, events & performing arts",Product-based,Partnership,2002,23,23,3089773,36,Musanze,38,Male,Startup,0.18,Closed
Public Administration & Defense,Security & defense institutions,Hybrid,Sole Proprietorship,2011,14,14,757822,16,Nyagatare,54,Female,Startup,-0.01,Operating
Energy & Utilities,Renewable energy technologies,Service-based,Sole Proprietorship,2001,24,24,13561323,36,Rwamagana,19,Female,Micro-enterprise,0.04,Operating
Transport & Logistics,Rail (future projects),Product-based,Cooperative,2018,7,7,5451664,39,Huye,59,Female,Startup,0.18,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Product-based,Partnership,2002,23,23,415018,5,Kigali,55,Male,Startup,0.34,Closed
Professional & Business Services,"Legal, auditing & accounting firms",Product-based,Limited Company,2024,1,1,7857139,17,Rwamagana,62,Female,SME,0.34,Closed
Hospitality & Tourism,Cultural & eco-tourism services,Hybrid,Sole Proprietorship,2012,13,13,2935211,9,Huye,22,Female,SME,0.1,Operating
Professional & Business Services,Management consulting & advisory,Service-based,Limited Company,2000,25,25,7557997,28,Musanze,22,Male,SME,0.22,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Hybrid,Partnership,2014,11,11,2158067,20,Nyagatare,55,Male,SME,0.3,Operating
Education & Training,"Primary, secondary & tertiary schools",Hybrid,Partnership,2019,6,6,1994053,24,Musanze,54,Male,SME,0.29,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Product-based,Partnership,2010,15,15,4378781,10,Musanze,19,Female,Startup,-0.12,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Hybrid,Cooperative,2007,18,18,5062659,36,Musanze,36,Female,SME,0.29,Operating
Financial & Insurance Services,"Capital markets, investment funds",Service-based,Partnership,2015,10,10,3385282,30,Rwamagana,44,Male,Startup,-0.01,Closed
Manufacturing,"Food & beverages processing (dairy, breweries, bakeries, milling)",Service-based,Cooperative,2013,12,12,15618217,25,Rwamagana,46,Male,SME,-0.13,Closed
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Hybrid,Cooperative,2002,23,23,5407067,12,Huye,48,Male,Micro-enterprise,0.32,Operating
Financial & Insurance Services,"Capital markets, investment funds",Product-based,Sole Proprietorship,2017,8,8,2878323,6,Huye,63,Female,Micro-enterprise,0.06,Operating
Wholesale & Retail Trade,E-commerce & distribution,Product-based,Partnership,2023,2,2,1059305,39,Rusizi,41,Female,Startup,0.35,Operating
Education & Training,Vocational & technical training (TVET),Product-based,Limited Company,2007,18,18,3598999,47,Nyagatare,31,Male,SME,-0.15,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Service-based,Partnership,2019,6,6,8531621,11,Nyagatare,46,Male,Micro-enterprise,0.4,Operating
Health & Social Work,NGOs & community health services,Product-based,Cooperative,2009,16,16,5405273,10,Musanze,28,Female,Startup,0.19,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Product-based,Limited Company,2015,10,10,8632172,12,Rusizi,52,Male,SME,0.34,Operating
Construction & Real Estate,Road construction & maintenance,Product-based,Sole Proprietorship,2009,16,16,1096030,21,Rusizi,20,Female,SME,0.33,Closed
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Hybrid,Limited Company,2023,2,2,12298263,32,Rwamagana,21,Female,SME,0.2,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Service-based,Partnership,2018,7,0,4607649,47,Kigali,56,Male,Micro-enterprise,0.44,Closed
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Product-based,Sole Proprietorship,2019,6,6,15320613,39,Rusizi,30,Male,Micro-enterprise,0.46,Operating
Financial & Insurance Services,"Insurance (life, health, property, vehicle)",Product-based,Partnership,2014,11,11,3519078,28,Rusizi,28,Female,Startup,0.2,Operating
Energy & Utilities,Water supply & waste management,Product-based,Sole Proprietorship,2008,17,17,13091599,26,Nyagatare,54,Male,Startup,-0.01,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Product-based,Limited Company,2022,3,3,380966,17,Rwamagana,54,Female,Startup,0.11,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Product-based,Partnership,2024,1,1,3079301,43,Rubavu,24,Female,SME,-0.09,Operating
Hospitality & Tourism,Travel agencies & tour operators,Product-based,Cooperative,2011,14,14,3155555,2,Rusizi,45,Female,Micro-enterprise,0.36,Operating
Nonprofit & Community Organizations,NGOs & cooperatives,Hybrid,Partnership,2022,3,3,9655160,17,Rwamagana,35,Female,Micro-enterprise,0.46,Closed
Public Administration & Defense,Government services,Product-based,Cooperative,2019,6,6,2675017,6,Nyagatare,27,Female,SME,0.3,Operating
Transport & Logistics,Rail (future projects),Service-based,Cooperative,2015,10,0,7247961,24,Kigali,30,Male,Startup,0.18,Operating
Financial & Insurance Services,Banking (commercial & microfinance),Hybrid,Limited Company,2005,20,20,1178067,33,Kigali,54,Female,Micro-enterprise,0.34,Operating
"Arts, Entertainment & Recreation",Gaming & leisure activities,Service-based,Limited Company,2021,4,4,8190703,4,Rubavu,62,Female,SME,0.47,Operating
Hospitality & Tourism,Travel agencies & tour operators,Product-based,Sole Proprietorship,2016,9,9,7114079,8,Huye,39,Female,SME,-0.15,Operating
Education & Training,EdTech platforms,Service-based,Limited Company,2000,25,25,3944964,45,Kigali,33,Male,Startup,0.27,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Hybrid,Limited Company,2021,4,4,3238013,42,Rubavu,39,Male,Micro-enterprise,0.41,Operating
Construction & Real Estate,Real estate development & property management,Service-based,Cooperative,2009,16,16,8818887,36,Nyagatare,20,Male,SME,-0.08,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Service-based,Sole Proprietorship,2023,2,2,12204658,48,Rusizi,23,Male,SME,0.27,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Hybrid,Partnership,2023,2,2,7145983,14,Huye,54,Male,Micro-enterprise,0.4,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Hybrid,Cooperative,2017,8,8,6415039,46,Nyagatare,38,Female,SME,0.24,Closed
Nonprofit & Community Organizations,Religious organizations,Hybrid,Partnership,2016,9,9,1041228,36,Rwamagana,53,Male,Micro-enterprise,0.03,Operating
Financial & Insurance Services,"Insurance (life, health, property, vehicle)",Hybrid,Limited Company,2000,25,25,9027849,19,Rusizi,62,Female,Startup,0.03,Operating
Education & Training,Vocational & technical training (TVET),Product-based,Partnership,2025,0,0,334748,14,Musanze,25,Male,SME,-0.07,Operating
Education & Training,"Primary, secondary & tertiary schools",Service-based,Partnership,2017,8,8,1086063,1,Rusizi,34,Male,Micro-enterprise,-0.13,Operating
Energy & Utilities,Renewable energy technologies,Hybrid,Partnership,2009,16,16,17107763,48,Kigali,28,Male,Micro-enterprise,0.14,Operating
Manufacturing,Wood products & furniture,Product-based,Limited Company,2017,8,8,18194546,19,Kigali,63,Female,Startup,0.12,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Product-based,Partnership,2008,17,17,692800,2,Rubavu,21,Female,Startup,0.07,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Hybrid,Limited Company,2010,15,15,8962863,22,Musanze,55,Male,Micro-enterprise,-0.03,Operating
Manufacturing,"Metal fabrication, machinery, electrical products",Service-based,Limited Company,2018,7,0,1090887,41,Musanze,18,Male,Startup,-0.18,Operating
Financial & Insurance Services,"Capital markets, investment funds",Product-based,Partnership,2024,1,1,3329450,26,Musanze,64,Female,SME,-0.03,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Product-based,Cooperative,2021,4,4,2751155,5,Kigali,43,Male,Startup,0.13,Closed
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Product-based,Sole Proprietorship,2002,23,23,4174048,30,Huye,23,Male,Micro-enterprise,0.1,Operating
Financial & Insurance Services,Banking (commercial & microfinance),Hybrid,Sole Proprietorship,2018,7,7,2069969,41,Musanze,27,Female,SME,-0.1,Operating
Health & Social Work,NGOs & community health services,Product-based,Partnership,2007,18,18,2281647,31,Rusizi,55,Male,Startup,0,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Product-based,Partnership,2020,5,5,4026170,7,Rwamagana,64,Male,Micro-enterprise,-0.02,Closed
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Hybrid,Partnership,2018,7,7,747293,27,Musanze,29,Female,Micro-enterprise,-0.15,Closed
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Product-based,Sole Proprietorship,2009,16,16,3222682,11,Rusizi,38,Male,Micro-enterprise,0.02,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Hybrid,Limited Company,2025,0,0,4077777,5,Nyagatare,55,Male,Micro-enterprise,0.05,Operating
Energy & Utilities,Water supply & waste management,Product-based,Cooperative,2013,12,12,14004914,5,Rusizi,58,Female,SME,0.31,Operating
Financial & Insurance Services,"Insurance (life, health, property, vehicle)",Service-based,Cooperative,2012,13,13,9948464,22,Huye,30,Female,Micro-enterprise,0.01,Operating
Education & Training,Vocational & technical training (TVET),Product-based,Sole Proprietorship,2022,3,3,4662109,35,Rusizi,34,Female,SME,0.12,Closed
Public Administration & Defense,Government services,Hybrid,Limited Company,2008,17,0,6685507,43,Rusizi,34,Female,Micro-enterprise,0.26,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Product-based,Cooperative,2024,1,1,2899959,29,Rwamagana,34,Male,Startup,0.36,Operating
Wholesale & Retail Trade,E-commerce & distribution,Hybrid,Limited Company,2022,3,3,3786466,42,Kigali,58,Male,Micro-enterprise,0.03,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Product-based,Partnership,2018,7,7,3902847,7,Rusizi,55,Male,Startup,0.1,Operating
Financial & Insurance Services,Banking (commercial & microfinance),Product-based,Partnership,2008,17,17,4482345,11,Rusizi,24,Male,Startup,-0.2,Operating
Manufacturing,Pharmaceutical & medical products,Product-based,Sole Proprietorship,2004,21,21,12594738,28,Rusizi,27,Female,SME,0.09,Operating
Financial & Insurance Services,"Capital markets, investment funds",Product-based,Cooperative,2007,18,18,613340,35,Huye,43,Male,Startup,0.13,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Product-based,Sole Proprietorship,2021,4,4,308753,21,Rwamagana,60,Male,Micro-enterprise,0.34,Operating
Wholesale & Retail Trade,E-commerce & distribution,Product-based,Limited Company,2005,20,20,1374856,28,Musanze,44,Male,Micro-enterprise,-0.1,Operating
Information & Communication Technology (ICT),"FinTech (mobile money, digital banking solutions)",Hybrid,Sole Proprietorship,2015,10,10,9734939,48,Musanze,42,Female,SME,0.24,Operating
Education & Training,Universities & research centers,Hybrid,Limited Company,2020,5,5,1835872,28,Musanze,29,Female,SME,0.16,Operating
Manufacturing,"Metal fabrication, machinery, electrical products",Product-based,Cooperative,2024,1,0,5975235,25,Rubavu,60,Female,Micro-enterprise,-0.04,Closed
Financial & Insurance Services,"Capital markets, investment funds",Hybrid,Cooperative,2005,20,20,2547814,49,Huye,33,Male,Micro-enterprise,-0.08,Closed
Financial & Insurance Services,Banking (commercial & microfinance),Product-based,Partnership,2002,23,23,9486657,3,Huye,40,Female,Startup,-0.13,Closed
Transport & Logistics,Rail (future projects),Product-based,Limited Company,2009,16,16,9577314,5,Rusizi,28,Male,Startup,0.22,Closed
Energy & Utilities,Water supply & waste management,Product-based,Sole Proprietorship,2022,3,3,15600980,24,Nyagatare,59,Male,Micro-enterprise,-0.14,Operating
Public Administration & Defense,Government services,Service-based,Sole Proprietorship,2021,4,4,4992097,34,Nyagatare,63,Female,Micro-enterprise,0.23,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Hybrid,Sole Proprietorship,2002,23,23,5210981,6,Rubavu,56,Male,SME,0.36,Operating
Nonprofit & Community Organizations,Religious organizations,Product-based,Partnership,2017,8,0,7518439,5,Nyagatare,59,Male,Micro-enterprise,-0.17,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Hybrid,Cooperative,2021,4,4,3231387,34,Rusizi,47,Male,Startup,0.15,Operating
Public Administration & Defense,Security & defense institutions,Service-based,Sole Proprietorship,2016,9,9,2988621,47,Rwamagana,46,Male,SME,0.04,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Service-based,Partnership,2014,11,11,3259412,9,Huye,39,Female,Startup,-0.09,Operating
Transport & Logistics,Rail (future projects),Service-based,Cooperative,2021,4,4,9917951,34,Rubavu,23,Female,SME,-0.14,Operating
Public Administration & Defense,Government services,Hybrid,Limited Company,2006,19,19,5965903,36,Rubavu,43,Female,SME,0.15,Operating
Manufacturing,"Chemicals, plastics, rubber, paints",Service-based,Partnership,2001,24,0,9280432,18,Nyagatare,20,Male,Micro-enterprise,-0.18,Operating
Transport & Logistics,Rail (future projects),Hybrid,Partnership,2021,4,4,6161561,11,Kigali,47,Male,SME,0.28,Closed
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Product-based,Limited Company,2012,13,13,5872075,46,Rubavu,35,Female,Micro-enterprise,0.29,Operating
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Service-based,Cooperative,2020,5,0,2748359,21,Nyagatare,50,Female,SME,0.36,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Service-based,Partnership,2018,7,7,5282011,33,Nyagatare,38,Female,SME,0.36,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Product-based,Limited Company,2004,21,21,12758047,7,Rubavu,27,Male,SME,0.33,Operating
Information & Communication Technology (ICT),Data centers & cloud services,Hybrid,Limited Company,2004,21,21,9362414,10,Rusizi,34,Female,SME,-0.12,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Product-based,Sole Proprietorship,2015,10,10,2334013,31,Rubavu,19,Female,Startup,0.04,Operating
Nonprofit & Community Organizations,Charities & associations,Product-based,Limited Company,2002,23,23,9295523,42,Rwamagana,32,Male,SME,0.33,Operating
Construction & Real Estate,Real estate development & property management,Hybrid,Cooperative,2016,9,9,3716645,40,Kigali,50,Male,Micro-enterprise,-0.14,Operating
Health & Social Work,Health insurance providers,Product-based,Partnership,2004,21,21,9385163,44,Musanze,20,Female,Startup,0.38,Operating
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Service-based,Limited Company,2014,11,0,15433214,13,Rwamagana,19,Male,Startup,0.1,Operating
Wholesale & Retail Trade,E-commerce & distribution,Service-based,Sole Proprietorship,2022,3,3,4771002,10,Kigali,41,Female,Micro-enterprise,-0.16,Closed
Nonprofit & Community Organizations,NGOs & cooperatives,Product-based,Partnership,2002,23,23,4974359,44,Rusizi,36,Female,Micro-enterprise,0.38,Operating
Nonprofit & Community Organizations,Charities & associations,Hybrid,Sole Proprietorship,2017,8,8,837851,35,Kigali,24,Female,Startup,0.03,Operating
"Arts, Entertainment & Recreation",Gaming & leisure activities,Hybrid,Cooperative,2018,7,7,5279475,36,Nyagatare,35,Male,Startup,-0.06,Operating
Construction & Real Estate,"Architecture, engineering & technical services",Hybrid,Limited Company,2019,6,6,13600748,34,Rwamagana,49,Male,Startup,0.49,Operating
Energy & Utilities,Renewable energy technologies,Service-based,Partnership,2017,8,8,15528732,7,Kigali,52,Female,SME,-0.02,Operating
Construction & Real Estate,Road construction & maintenance,Product-based,Partnership,2014,11,11,1868285,23,Rwamagana,57,Female,Micro-enterprise,-0.07,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Hybrid,Partnership,2022,3,3,3511072,27,Kigali,22,Male,Startup,-0.05,Operating
Information & Communication Technology (ICT),"Telecommunications (MTN, Airtel, broadband providers)",Service-based,Limited Company,2023,2,2,421337,9,Rwamagana,31,Female,SME,0.37,Closed
Construction & Real Estate,Road construction & maintenance,Hybrid,Sole Proprietorship,2009,16,16,3272788,28,Rwamagana,23,Male,Micro-enterprise,-0.19,Operating
Construction & Real Estate,Building & civil engineering works,Service-based,Cooperative,2015,10,10,5494403,28,Rusizi,33,Female,SME,0.31,Operating
Education & Training,Vocational & technical training (TVET),Service-based,Limited Company,2013,12,0,471268,5,Rusizi,43,Female,Startup,0.12,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Service-based,Sole Proprietorship,2014,11,11,3784170,43,Huye,27,Female,Micro-enterprise,-0.11,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Service-based,Limited Company,2018,7,7,1612842,38,Nyagatare,23,Female,Startup,0.35,Operating
Financial & Insurance Services,Savings & credit cooperatives (SACCOs),Product-based,Limited Company,2017,8,8,7571448,7,Rusizi,27,Male,Startup,0.16,Closed
Education & Training,Universities & research centers,Product-based,Sole Proprietorship,2010,15,15,1994977,19,Rusizi,20,Female,Micro-enterprise,-0.03,Operating
Professional & Business Services,Security services,Service-based,Sole Proprietorship,2000,25,25,8805130,1,Nyagatare,63,Male,Micro-enterprise,0.17,Operating
Financial & Insurance Services,Banking (commercial & microfinance),Service-based,Sole Proprietorship,2011,14,14,5070510,13,Kigali,34,Male,Startup,0.16,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Service-based,Cooperative,2017,8,0,12852892,48,Kigali,29,Male,Micro-enterprise,-0.14,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Product-based,Partnership,2006,19,19,2688982,30,Rubavu,47,Male,Micro-enterprise,0.23,Operating
Construction & Real Estate,Road construction & maintenance,Service-based,Sole Proprietorship,2017,8,8,10570043,4,Kigali,47,Female,SME,0.46,Operating
Public Administration & Defense,Government services,Hybrid,Partnership,2001,24,24,8230701,2,Huye,59,Male,Micro-enterprise,-0.15,Operating
Education & Training,EdTech platforms,Hybrid,Cooperative,2014,11,11,2329129,16,Musanze,61,Female,Micro-enterprise,-0.18,Operating
Transport & Logistics,"Aviation (RwandAir, airport services)",Service-based,Sole Proprietorship,2022,3,3,7844749,28,Rubavu,61,Female,SME,0.24,Operating
Health & Social Work,Health insurance providers,Service-based,Cooperative,2004,21,21,583517,32,Rusizi,64,Male,SME,-0.15,Operating
Mining & Quarrying,"Tin, tungsten, tantalum (3Ts)",Product-based,Sole Proprietorship,2016,9,9,8267161,9,Huye,44,Female,Micro-enterprise,0.04,Operating
Manufacturing,"Chemicals, plastics, rubber, paints",Service-based,Partnership,2017,8,8,2125537,7,Nyagatare,31,Male,Startup,0.45,Operating
Manufacturing,"Food & beverages processing (dairy, breweries, bakeries, milling)",Hybrid,Sole Proprietorship,2019,6,6,13619523,24,Rusizi,25,Male,SME,0.16,Operating
Professional & Business Services,Security services,Service-based,Partnership,2009,16,16,9099466,40,Rusizi,48,Female,Micro-enterprise,0.39,Operating
Health & Social Work,NGOs & community health services,Hybrid,Partnership,2024,1,0,7515728,31,Rwamagana,60,Male,SME,0.33,Operating
"Agriculture, Forestry & Fishing",Fishing & aquaculture,Product-based,Limited Company,2014,11,11,2710421,26,Huye,39,Female,SME,-0.04,Operating
Construction & Real Estate,"Architecture, engineering & technical services",Service-based,Cooperative,2024,1,1,19218002,42,Musanze,22,Male,Startup,0.2,Operating
Public Administration & Defense,Government services,Hybrid,Partnership,2013,12,12,1209493,28,Nyagatare,37,Female,SME,0,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Hybrid,Partnership,2001,24,24,11780297,29,Musanze,64,Male,SME,0.25,Operating
"Arts, Entertainment & Recreation",Gaming & leisure activities,Hybrid,Partnership,2012,13,13,346107,3,Rwamagana,51,Female,Startup,0.44,Operating
Professional & Business Services,"Legal, auditing & accounting firms",Hybrid,Partnership,2021,4,4,3030248,45,Rusizi,53,Male,SME,-0.09,Operating
"Agriculture, Forestry & Fishing","Livestock farming (cattle, goats, poultry, pigs, rabbits, fish)",Product-based,Sole Proprietorship,2002,23,23,4863595,32,Huye,33,Male,SME,-0.14,Operating
Hospitality & Tourism,Cultural & eco-tourism services,Service-based,Partnership,2023,2,2,4970368,17,Musanze,47,Female,SME,0.45,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Hybrid,Partnership,2015,10,10,1083033,47,Rusizi,63,Female,Micro-enterprise,-0.14,Operating
Mining & Quarrying,"Quarrying (stone, sand, gravel)",Hybrid,Sole Proprietorship,2017,8,8,8544648,7,Huye,30,Female,Startup,0.36,Operating
"Agriculture, Forestry & Fishing","Forestry (timber, charcoal, firewood, reforestation)",Product-based,Cooperative,2012,13,13,4823011,3,Huye,34,Male,Startup,-0.08,Closed
Energy & Utilities,"Electricity (hydropower, solar, methane gas, peat, biomass)",Hybrid,Partnership,2008,17,17,12249618,46,Musanze,54,Male,Startup,0.49,Operating
Manufacturing,Wood products & furniture,Product-based,Sole Proprietorship,2006,19,19,10189736,28,Rusizi,58,Female,SME,0.16,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Product-based,Sole Proprietorship,2006,19,0,1356821,25,Musanze,39,Female,Micro-enterprise,0.27,Operating
Energy & Utilities,Renewable energy technologies,Service-based,Partnership,2016,9,9,8162240,13,Kigali,39,Male,Micro-enterprise,0.15,Operating
Transport & Logistics,"Road transport (bus, taxi, moto, trucks)",Product-based,Partnership,2010,15,15,8022463,19,Rusizi,51,Male,Micro-enterprise,0.45,Operating
Hospitality & Tourism,"Hotels, lodges, restaurants, cafés",Product-based,Partnership,2002,23,23,9755390,9,Rubavu,28,Male,SME,-0.04,Operating
Wholesale & Retail Trade,Motor vehicle & motorcycle trade,Product-based,Cooperative,2006,19,19,4601176,49,Musanze,48,Female,Startup,0.34,Closed
"Agriculture, Forestry & Fishing","Crop farming (coffee, tea, maize, rice, beans, vegetables, fruits)",Service-based,Sole Proprietorship,2015,10,10,1715960,9,Musanze,59,Female,Micro-enterprise,0.17,Operating
Education & Training,EdTech platforms,Product-based,Sole Proprietorship,2005,20,20,1759393,19,Rwamagana,51,Male,Startup,0.16,Closed
Education & Training,Universities & research centers,Service-based,Limited Company,2013,12,12,4702585,40,Nyagatare,23,Female,Micro-enterprise,0.43,Operating
Wholesale & Retail Trade,"General trade (shops, supermarkets, open markets)",Service-based,Partnership,2006,19,19,4721233,41,Rusizi,51,Female,Micro-enterprise,-0.06,Operating
Health & Social Work,"Hospitals, clinics, pharmacies",Hybrid,Sole Proprietorship,2023,2,2,7531838,4,Rusizi,39,Male,Micro-enterprise,-0.1,Operating
Transport & Logistics,"Logistics, warehousing & courier services",Service-based,Partnership,2004,21,21,7316176,33,Rwamagana,50,Female,Startup,0.18,Operating
Construction & Real Estate,"Architecture, engineering & technical services",Product-based,Partnership,2025,0,0,3071186,3,Rubavu,47,Female,Micro-enterprise,0.28,Operating
Nonprofit & Community Organizations,Charities & associations,Product-based,Sole Proprietorship,2024,1,1,5768981,20,Nyagatare,22,Male,Startup,-0.01,Operating
Construction & Real Estate,Road construction & maintenance,Product-based,Partnership,2020,5,5,12769775,49,Nyagatare,28,Female,Micro-enterprise,0.1,Operating
Professional & Business Services,Security services,Hybrid,Sole Proprietorship,2013,12,0,6201839,31,Musanze,18,Female,SME,-0.02,Operating
"Arts, Entertainment & Recreation",Sports clubs & fitness centers,Hybrid,Partnership,2004,21,21,9256594,3,Nyagatare,24,Female,Startup,0.03,Operating
